table_name,aoi_id,id,vendor_id,entity_id,vendor,platform,pixel_size_x,pixel_size_y,date,publish_date,geometry,sea_state_qual,sea_state_quant,shareable
EE,6,10400100476C3000,19FEB25160126-S2AS_R1C2-504979755020_01_P010,WV320190225160126OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.532149 41.783403, -70.532149 41.858113, -70.45746 41.858113, -70.45746 41.783403, -70.532149 41.783403))",,,
EE,6,10400100476C3000,19FEB25160126-S2AS_R2C2-504979755020_01_P010,WV320190225160126OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.530391 41.750863, -70.530391 41.78432, -70.459176 41.78432, -70.459176 41.750863, -70.530391 41.750863))",,,
EE,6,10400100476C3000,19FEB25160127-S2AS_R1C2-504979755020_01_P011,WV320190225160127OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.532857 41.85233, -70.532857 41.927059, -70.456621 41.927059, -70.456621 41.85233, -70.532857 41.85233))",,,
EE,6,10400100476C3000,19FEB25160127-S2AS_R2C2-504979755020_01_P011,WV320190225160127OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.531094 41.817837, -70.531094 41.853267, -70.458324 41.853267, -70.458324 41.817837, -70.531094 41.817837))",,,
EE,6,10400100476C3000,19FEB25160128-S2AS_R1C2-504979755020_01_P012,WV320190225160128OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.533596 41.922427, -70.533596 41.997176, -70.45573 41.997176, -70.45573 41.922427, -70.533596 41.922427))",,,
EE,6,10400100476C3000,19FEB25160128-S2AS_R2C2-504979755020_01_P012,WV320190225160128OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.531828 41.885868, -70.531828 41.923385, -70.45743 41.923385, -70.45743 41.885868, -70.531828 41.885868))",,,
EE,6,10400100476C3000,19FEB25160129-S2AS_R1C2-504979755020_01_P013,WV320190225160129OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.534397 41.993891, -70.534397 42.068662, -70.454787 42.068662, -70.454787 41.993891, -70.534397 41.993891))",,,
EE,6,10400100476C3000,19FEB25160129-S2AS_R2C2-504979755020_01_P013,WV320190225160129OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.532624 41.955041, -70.532624 41.994871, -70.456472 41.994871, -70.456472 41.955041, -70.532624 41.955041))",,,
EE,6,10400100476C3000,19FEB25160130-S2AS_R1C2-504979755020_01_P014,WV320190225160130OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.535258 42.066704, -70.535258 42.141499, -70.453802 42.141499, -70.453802 42.066704, -70.535258 42.066704))",,,
EE,6,10400100476C3000,19FEB25160130-S2AS_R1C2-504979755020_01_P015,WV320190225160130OR01C0201,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.535155 42.097489, -70.535155 42.172288, -70.45335 42.172288, -70.45335 42.097489, -70.535155 42.097489))",,,
